"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"3274","suffering wback acne try thiscups epsom saltrunning warm bath watersoaking for mbye bye acne",FALSE,0,NA,2017-11-07 07:40:30,FALSE,NA,"927802929817452544",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","thifhe_ravele",118,TRUE,FALSE,NA,NA
"3275","suffering wback acne try thiscups epsom saltrunning warm bath watersoaking for mbye bye acne",FALSE,0,NA,2017-11-07 07:40:03,FALSE,NA,"927802816000704512",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","imnnzrh",118,TRUE,FALSE,NA,NA
"3276","mint shea butter amp green tea soapitchyinfected skin acne rash strengthens skin",FALSE,0,NA,2017-11-07 07:40:02,FALSE,NA,"927802811353567232",NA,"<a href=""https://www.sweetertweet.com"" rel=""nofollow"">SweeterTweet</a>","TeaHerbMilkSoap",0,FALSE,FALSE,NA,NA
"3277","cystic acne have you tried mario badescu rose water get away from me before i call the police",FALSE,0,NA,2017-11-07 07:39:46,FALSE,NA,"927802745700073472",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","maddy_eldredge",4263,TRUE,FALSE,NA,NA
"3278","win the positively clear acne blue light fromwinningmoments triabeauty pos",FALSE,0,NA,2017-11-07 07:39:06,FALSE,NA,"927802577764438016",NA,"<a href=""https://twitter.com/Alice81863399"" rel=""nofollow"">threadjjhkjh45</a>","Alice222555",12,TRUE,FALSE,NA,NA
"3279","worst tips ive heard use sugar amp a lemon as exfoliator aveeno lotion as a moisturizer and benzoyl peroxide all of the face",FALSE,0,NA,2017-11-07 07:39:05,FALSE,NA,"927802571447775233",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_amberrrrrrrr",4,TRUE,FALSE,NA,NA
"3280","win the positively clear acne blue light fromwinningmoments triabeauty pos",FALSE,0,NA,2017-11-07 07:38:09,FALSE,NA,"927802338428977152",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ThatTh0uka",12,TRUE,FALSE,NA,NA
"3281",NA,FALSE,1,NA,2017-11-07 07:37:52,FALSE,NA,"927802267276795904",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","watdahelrinsul",0,FALSE,FALSE,NA,NA
"3282","all ye melanin queens that dont battle with acne 
do you guys know hoe good you have got it 
do yu comprehend 
do you reliaze",FALSE,0,"Precy_Q",2017-11-07 07:37:32,FALSE,"927801546074705921","927802183688556545","783020262","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Precy_Q",0,FALSE,FALSE,NA,NA
"3283","idk how yall do it i trip when i getzit meanwhile ppl are ok w having moderate acne i canttt",FALSE,2,NA,2017-11-07 07:37:26,FALSE,NA,"927802156278743040",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","goddessxrosa",1,FALSE,FALSE,NA,NA
"3284","how to get rid of acneis my favorite",FALSE,0,NA,2017-11-07 07:36:45,FALSE,NA,"927801985767587840",NA,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>","FIirts",0,FALSE,FALSE,NA,NA
"3285","suffering wback acne try thiscups epsom saltrunning warm bath watersoaking for mbye bye acne",FALSE,0,NA,2017-11-07 07:36:30,FALSE,NA,"927801921460633600",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Sabrina62666447",118,TRUE,FALSE,NA,NA
"3286","peel off face masks boosts your skins radiance by exfoliating it
buy now
mywedjat",FALSE,0,NA,2017-11-07 07:35:59,TRUE,NA,"927801790053019648",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","myWedjat",0,FALSE,FALSE,NA,NA
"3287","cystic acne have you tried mario badescu rose water get away from me before i call the police",FALSE,0,NA,2017-11-07 07:35:55,FALSE,NA,"927801772843978752",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chuucksie",4263,TRUE,FALSE,NA,NA
"3288","suffering wback acne try thiscups epsom saltrunning warm bath watersoaking for mbye bye acne",FALSE,0,NA,2017-11-07 07:35:45,FALSE,NA,"927801733543165953",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HudaaaaaaAL",118,TRUE,FALSE,NA,NA
"3289","drinking greentea every day can help reduce stress and keep the acne away rtif you love green tea",FALSE,0,NA,2017-11-07 07:35:24,FALSE,NA,"927801645009797120",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ainilnajwa_",904,TRUE,FALSE,NA,NA
"3290",NA,FALSE,13,NA,2017-11-07 07:35:15,FALSE,NA,"927801608116637696",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RiaEbueza",0,FALSE,FALSE,NA,NA
"3291","suffering wback acne try thiscups epsom saltrunning warm bath watersoaking for mbye bye acne",FALSE,0,NA,2017-11-07 07:35:12,FALSE,NA,"927801596100083714",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bshry0ck",118,TRUE,FALSE,NA,NA
"3292",NA,FALSE,1,NA,2017-11-07 07:35:08,FALSE,NA,"927801575833092096",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","parkroshy",0,FALSE,FALSE,NA,NA
"3293","suffering wback acne try thiscups epsom saltrunning warm bath watersoaking for mbye bye acne",FALSE,0,NA,2017-11-07 07:35:02,FALSE,NA,"927801552659734528",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nurelina__",118,TRUE,FALSE,NA,NA
"3294","of all places for big fat acne to appearits on my chest 
my flawlesschest 
i rather have it on my face oops i already got it there",FALSE,0,NA,2017-11-07 07:35:00,FALSE,NA,"927801546074705921",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Precy_Q",0,FALSE,FALSE,NA,NA
"3295","cystic acne have you tried mario badescu rose water get away from me before i call the police",FALSE,0,NA,2017-11-07 07:34:57,FALSE,NA,"927801530320691200",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mryxcthrn",4263,TRUE,FALSE,NA,NA
"3296","add these to your beauty regimen ✨ from antiaging to acne solutions for different skin types",FALSE,0,NA,2017-11-07 07:34:55,FALSE,NA,"927801521378435072",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","belarma78",2,TRUE,FALSE,NA,NA
"3297","suffering wback acne try thiscups epsom saltrunning warm bath watersoaking for mbye bye acne",FALSE,0,NA,2017-11-07 07:34:47,FALSE,NA,"927801490600628224",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sepatbenua89",118,TRUE,FALSE,NA,NA
"3298","cystic acne have you tried mario badescu rose water get away from me before i call the police",FALSE,0,NA,2017-11-07 07:34:36,FALSE,NA,"927801443435851776",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Inesantosb_",4263,TRUE,FALSE,NA,NA
