"year","month","day","count"
2000,11,27,0
2000,11,28,4
2000,11,29,14
2000,11,30,8
2000,12,1,8
2000,12,2,0
2000,12,3,0
2000,12,4,6
2000,12,5,3
2000,12,6,11
2000,12,7,13
2000,12,8,7
2000,12,9,0
2000,12,10,0
2000,12,11,12
2000,12,12,13
2000,12,13,17
2000,12,14,7
2000,12,15,6
2000,12,16,1
2000,12,17,0
2000,12,18,2
2000,12,19,3
2000,12,20,2
2000,12,21,1
2000,12,22,0
2000,12,23,0
2000,12,24,0
2000,12,25,0
2000,12,26,0
2000,12,27,3
2000,12,28,3
2000,12,29,2
2000,12,30,1
2000,12,31,0
2001,1,1,0
2001,1,2,6
2001,1,3,3
2001,1,4,6
2001,1,5,1
2001,1,6,0
2001,1,7,1
2001,1,8,5
2001,1,9,3
2001,1,10,3
2001,1,11,3
2001,1,12,3
2001,1,13,1
2001,1,14,2
2001,1,15,10
2001,1,16,26
2001,1,17,6
2001,1,18,10
2001,1,19,11
2001,1,20,2
2001,1,21,2
2001,1,22,7
2001,1,23,4
2001,1,24,6
2001,1,25,5
2001,1,26,2
2001,1,27,0
2001,1,28,1
2001,1,29,3
2001,1,30,9
2001,1,31,7
2001,2,1,3
2001,2,2,10
2001,2,3,0
2001,2,4,0
2001,2,5,7
2001,2,6,10
2001,2,7,10
2001,2,8,4
2001,2,9,9
2001,2,10,0
2001,2,11,0
2001,2,12,0
2001,2,13,5
2001,2,14,6
2001,2,15,10
2001,2,16,6
2001,2,17,0
2001,2,18,1
2001,2,19,2
2001,2,20,3
2001,2,21,14
2001,2,22,3
2001,2,23,4
2001,2,24,0
2001,2,25,0
2001,2,26,4
2001,2,27,4
2001,2,28,3
2001,3,1,6
2001,3,2,1
2001,3,3,0
2001,3,4,0
2001,3,5,2
2001,3,6,2
2001,3,7,0
2001,3,8,3
2001,3,9,1
2001,3,10,0
2001,3,11,0
2001,3,12,2
2001,3,13,0
2001,3,14,0
2001,3,15,3
2001,3,16,2
2001,3,17,0
2001,3,18,0
2001,3,19,5
2001,3,20,4
2001,3,21,2
2001,3,22,2
2001,3,23,5
2001,3,24,0
2001,3,25,0
2001,3,26,10
2001,3,27,9
2001,3,28,11
2001,3,29,15
2001,3,30,9
2001,3,31,0
2001,4,1,0
2001,4,2,14
2001,4,3,7
2001,4,4,12
2001,4,5,6
2001,4,6,4
2001,4,7,0
2001,4,8,0
2001,4,9,14
2001,4,10,13
2001,4,11,4
2001,4,12,8
2001,4,13,0
2001,4,14,0
2001,4,15,0
2001,4,16,5
2001,4,17,6
2001,4,18,7
2001,4,19,6
2001,4,20,1
2001,4,21,0
2001,4,22,0
2001,4,23,4
2001,4,24,0
2001,4,25,1
2001,4,26,0
2001,4,27,2
2001,4,28,0
2001,4,29,0
2001,4,30,0
2001,5,1,0
2001,5,2,0
2001,5,3,0
2001,5,4,0
2001,5,5,0
2001,5,6,0
2001,5,7,0
2001,5,8,0
2001,5,9,0
2001,5,10,0
2001,5,11,1
2001,5,12,0
2001,5,13,0
2001,5,14,0
2001,5,15,1
2001,5,16,0
2001,5,17,0
2001,5,18,0
2001,5,19,0
2001,5,20,0
2001,5,21,0
2001,5,22,0
2001,5,23,0
2001,5,24,3
2001,5,25,2
2001,5,26,0
2001,5,27,0
2001,5,28,0
2001,5,29,0
2001,5,30,0
2001,5,31,0
2001,6,1,1
